epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall
1,0.6692374587059021,0.6216129213571548,0.5827814569536424,0.6862745098039216,0.20253164556962025,0.0,0.38095238095238093,0.0,0.13793103448275862,0.0
2,0.6228227972984314,0.6180854588747025,0.6158940397350994,0.6862745098039216,0.0,0.1111111111111111,0.0,0.5,0.0,0.0625
3,0.39631259739398955,0.7806818038225174,0.8211920529801324,0.6862745098039216,0.7032967032967034,0.1111111111111111,0.9696969696969697,0.5,0.5517241379310345,0.0625
4,0.14812091197818517,1.4232107400894165,0.9602649006622517,0.6274509803921569,0.9473684210526315,0.42424242424242425,0.9642857142857143,0.4117647058823529,0.9310344827586207,0.4375
5,0.03151734420098364,1.8743137419223785,0.9933774834437086,0.5686274509803921,0.9914529914529915,0.21428571428571427,0.9830508474576272,0.25,1.0,0.1875
6,0.04281913089798763,2.161768466234207,0.9867549668874173,0.6666666666666666,0.9827586206896551,0.19047619047619047,0.9827586206896551,0.4,0.9827586206896551,0.125
7,0.12781710638082586,1.1463243595790118,0.9801324503311258,0.7647058823529411,0.9734513274336283,0.5384615384615384,1.0,0.7,0.9482758620689655,0.4375
8,0.10932228041929193,1.7481705248355865,0.9735099337748344,0.6666666666666666,0.9661016949152542,0.10526315789473684,0.95,0.3333333333333333,0.9827586206896551,0.0625
9,0.028812014922732488,1.268064807751216,0.9867549668874173,0.7450980392156863,0.9827586206896551,0.38095238095238093,0.9827586206896551,0.8,0.9827586206896551,0.25
10,0.09638637140160426,1.5785084920935333,0.9735099337748344,0.6078431372549019,0.9649122807017544,0.4117647058823529,0.9821428571428571,0.3888888888888889,0.9482758620689655,0.4375
11,0.003240005683619529,4.251177132129669,1.0,0.39215686274509803,1.0,0.41509433962264153,1.0,0.2972972972972973,1.0,0.6875
12,0.014370654328376985,1.8848671047016978,0.9867549668874173,0.6274509803921569,0.9830508474576272,0.2962962962962963,0.9666666666666667,0.36363636363636365,1.0,0.25
13,0.00034593087621033193,1.6198950931429863,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
14,0.00030790786549914626,1.782565774396062,1.0,0.6666666666666666,1.0,0.45161290322580644,1.0,0.4666666666666667,1.0,0.4375
15,0.0002575903810793534,1.8246992332860827,1.0,0.6666666666666666,1.0,0.45161290322580644,1.0,0.4666666666666667,1.0,0.4375
16,0.00019745260797208176,1.8029452592600137,1.0,0.6666666666666666,1.0,0.45161290322580644,1.0,0.4666666666666667,1.0,0.4375
17,0.0002118802542099729,1.7610201878705993,1.0,0.6862745098039216,1.0,0.4666666666666667,1.0,0.5,1.0,0.4375
18,0.00020400261419126764,1.7589991809800267,1.0,0.6862745098039216,1.0,0.4666666666666667,1.0,0.5,1.0,0.4375
19,0.00018324482516618446,1.7613644918892533,1.0,0.7058823529411765,1.0,0.4827586206896552,1.0,0.5384615384615384,1.0,0.4375
20,0.00019387495121918618,1.7632001334568486,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
21,0.00020730147662106901,1.77013621898368,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
22,0.00015437524634762668,1.7788785032462329,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
23,0.0001556770279421471,1.7878824704093859,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
24,0.00014501908590318634,1.7948253361973912,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
25,0.0001222514285473153,1.8006392553215846,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
26,0.00013297598561621272,1.8051143320044503,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
27,0.00016221364712691865,1.8089642929844558,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
28,0.00015574731878587045,1.8120554530760273,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
29,0.00015151052793953567,1.813891212339513,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
30,0.00015700962394475936,1.8146515893749893,1.0,0.7058823529411765,1.0,0.4444444444444444,1.0,0.5454545454545454,1.0,0.375
